ocid,source_month,n_releases_in_record,buyer_id,buyer_name,buyer_department_raw,tender_title,tender_description,procurement_method,procurement_method_details,main_category,tender_value_amount,tender_currency,tender_date_published,num_tenderers,is_single_bidder_award,num_awards,award_value_amount,award_currency,winning_suppliers,encoding_fixed,buyer_department,department_is_valid
ocds-dgv273-seacev3-1235050,2026-07,17,PE-CONSUCODE-204970,SERVICIO DE MANTENIMIENTO DEL PERÚ SOCIEDAD ANÓNIMA CERRADA,LIMA,LP-ABR-9-2026-SEMAN PERÚ SAC-2,ADQUISICIÓN DE COMPRESOR DE AIRE DE TORNILLO ROTATIVO PORTÁTIL PARA MANTENIMIENTO DE AERONAVES,,Licitación Pública Abreviada,goods,213282.0,PEN,2026-07-17T18:18:00-05:00,12,False,1,204422.68,PEN,INDUSTRIES MACHINERY SOCIEDAD ANONIMA CERRADA - INDUSMACHINERY S.A.C.,False,LIMA,True
ocds-dgv273-seacev3-1235051,2026-07,8,PE-CONSUCODE-35,GOBIERNO REGIONAL DE AYACUCHO SEDE CENTRAL,AYACUCHO,COMPRE-COMPRE-109-2026-GRA-SEDECENTRAL-1,"SERVICIO DE TRANSPORTE Y TRASLADO TERRESTRE DE MATERIALES DE CONSTRUCCIÓN, META 123, PROYECTO: ""MEJORAMIENTO Y AMPLIACIÓN DE LA CARRETERA EMP. PE - 32A (MINASCUCHO) - LLACHOCCMAYO - ALLPACHACA - MUNAYPATA - EMP. AY-106 (ROSASPATA), DISTRITO DE CHIARA, LOS MOROCHUCOS Y VINCHOS",open,Comparación de Precios,services,99750.0,PEN,2026-07-17T17:11:00-05:00,3,False,1,99650.0,PEN,TRANSPORTE NAPEGO SOCIEDAD ANONIMA CERRADA,False,AYACUCHO,True
ocds-dgv273-seacev3-1235052,2026-07,4,PE-CONSUCODE-2433,PETROLEOS DEL PERU S.A.,LIMA,ABR-PROC-22-2026-OTL / PETROPERU-1,ADQUISICIÓN DE FIBRAS METÁLICAS PARA LA REPARACIÓN DEL TREN DE REACCIÓN DE LA UNIDAD FCK DE REFINERÍA TALARA,open,Adjudicación Abreviada,goods,589056.0,PEN,2026-07-17T17:16:00-05:00,1,True,1,589056.0,PEN,ABASTECIMIENTOS INTERNACIONALES S.A.C,False,LIMA,True
ocds-dgv273-seacev3-1235053,2026-07,22,PE-CONSUCODE-764,MUNICIPALIDAD PROVINCIAL DE ANTA,CUSCO,SIE-SIE-10-2026-MPA-DEC-1,CONTRATACIÓN DE AGREGADOS PARA EL PROYECTO CREACION DEL SERVICIO DE PRACTICA DEPORTIVA Y/O RECREATIVA EN EL CAMPO DEPORTIVO DE LA COMUNIDAD DE CCONCHACALLA DEL DISTRITO DE ANTA DE LA PROVINCIA DE ANTA DEL DEPARTAMENTO DE CUSCO,open,Subasta Inversa Electrónica,goods,246779.25,PEN,2026-07-17T17:07:00-05:00,13,False,1,278000.0,PEN,CCAHUANA HUAMAN NILVER,False,CUSCO,True
ocds-dgv273-seacev3-1235054,2026-07,22,PE-CONSUCODE-1731,MUNICIPALIDAD PROVINCIAL DE SAN ROMAN - JULIACA,PUNO,LP-ABR-35-2026-MPSR-J-1,"ADQUISICIÓN DE MOTOCICLETAS EQUIPADAS PARA LA OBRA MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN EL AMBITO RURAL DE LOS DISTRITOS DE JULIACA, SAN MIGUEL, CABANA, CARACOTO Y DISTRITO DE CABANILLAS DE LA PROVINCIA DE SAN ROMÁN DEL DEPARTAMENTO DE PUNO, CON CUI N° 2601126",,Licitación Pública Abreviada,goods,184500.0,PEN,2026-07-17T16:56:00-05:00,14,False,1,161964.0,PEN,ALFA SANLU E.I.R.L.,False,PUNO,True
ocds-dgv273-seacev3-1235055,2026-07,4,PE-CONSUCODE-200344,MINISTERIO DE CULTURA,LIMA,INTER-PROC-18-2026--MC-1,SERVICIO DE JURADO DEL CONCURSO DE PROYECTOS DE FICCIÓN ¿ MODALIDAD PRODUCCIÓN DE LARGOMETRAJES DE FICCIÓN A NIVEL NACIONAL ¿ CATEGORIA NUEVOS REALIZADORES CON ENFOQUE DE PRODUCTOR CINEMATOGRÁFICO,open,Contratación Internacional,services,4000.0,USD,2026-07-24T10:55:00-05:00,1,True,1,4000.0,USD,Mónica Juanita Hernández Duquino,False,LIMA,True
ocds-dgv273-seacev3-1235056,2026-07,26,PE-CONSUCODE-1250,MUNICIPALIDAD DISTRITAL DE QUIRUVILCA,LA LIBERTAD,CP-ABR-3-2026-MDQ-1,"SUPERVISION DE LA OBRA: ¿MEJORAMIENTO DEL SERVICIO DE EDUCACION PRIMARIA EN I.E.80952 CARLOS ALFONSO GELDRES AGREDA DE CENTRO POBLADO LAS PAJILLAS DISTRITO DE QUIRUVILCA DE LA PROVINCIA DE SANTIAGO DE CHUCO DEL DEPARTAMENTO DE LA LIBERTAD, CON CUI 2629516",,Concurso Público Abreviado,services,121901.77,PEN,2026-07-17T17:18:00-05:00,21,False,1,109711.6,PEN,CONSORCIO SUPERVISOR PAJILLAS,False,LA LIBERTAD,True
ocds-dgv273-seacev3-1235057,2026-07,4,PE-CONSUCODE-10146,III DIRECCION TERRITORIAL DE POLICIA - TRUJILLO,LA LIBERTAD,DIRECTA-DIRECTA-4-2026-III DIRTEPOL-T-1,"Servicio de arrendamiento de inmueble para CPNP Moche de la Región Policial La Libertad, integrante de la UE 005 ¿ DIRTEPOL TRUJILLO",direct,Contratación Directa,services,0.0,PEN,2026-07-17T17:20:00-05:00,0,,0,,,,False,LA LIBERTAD,True
ocds-dgv273-seacev3-1235058,2026-07,18,PE-CONSUCODE-1721,MUNICIPALIDAD DISTRITAL DE UMACHIRI,PUNO,SIE-SIE-3-2026-MDU/DEC-1,ADQUISICIÓN DE BARRAS PARA CONSTRUCCIÓN GRADO 60 SEGÚN ESPECIFICACIONES TÉCNICAS PARA LA OBRA ¿MEJORAMIENTO DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN EL ESTADIO MARIANO MELGAR DEL DISTRITO DE UMACHIRI DE LA PROVINCIA DE MELGAR DEL DEPARTAMENTO DE PUNO¿,open,Subasta Inversa Electrónica,goods,70081.61,PEN,2026-07-17T17:43:00-05:00,7,False,1,51800.0,PEN,FERRO ACEROS DEL SUR EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,False,PUNO,True
ocds-dgv273-seacev3-1235060,2026-07,12,PE-CONSUCODE-10547,GOBIERNO REGIONAL DE PASCO - DIRECCION SUB-REGIONAL DE EDUCACION DE PASCO,PASCO,COMPRE-COMPRE-3-2026-GRP-DREP-DEC-1,CONTRATACION DEL SERVICIO DE ARMADO Y ADQUISICIÓN DE CINCO (05) AULAS PREFABRICADAS PARA SU REUBICACIÓN POR EMERGENCIA A LA INSTITUCIÓN EDUCATIVA N° 34685 PRIMAVERA DISTRITO DE YANAHUANCA PROVINCIA DANIEL ALCIDES CARRION DEPARTAMENTO DE PASCO ADSCRITO A LA DIRECCION DE GESTION INSTITUCIONAL OFICINA,open,Comparación de Precios,services,97087.0,PEN,2026-07-17T17:19:00-05:00,3,False,1,97087.0,PEN,TOLENTINO MORALES JOSHET WELMAN,False,PASCO,True
ocds-dgv273-seacev3-1235061,2026-07,20,PE-CONSUCODE-49,GOBIERNO REGIONAL DE PUNO SEDE CENTRAL,PUNO,LP-ABR-187-2026-GR PUNO/OC-1,"ADQUISICIÓN DE PIEDRA CHANCADA DE 1/2"" Y 3/4"" SEGÚN ESPECIFICACIONES TÉCNICAS PARA LA OBRA: MEJORAMIENTO SERVICIO INTEGRAL DE LA INSTITUCIÓN EDUCATIVA SECUNDARIA INDUSTRIAL PERÝ BIRF DEL DISTRITO DE SAN MIGUEL DE LA PROVINCIA DE SAN ROMÁN DEL DEPARTAMENTO DE PUNO",,Licitación Pública Abreviada,goods,168816.0,PEN,2026-07-17T17:12:00-05:00,12,False,1,150800.0,PEN,CONSTRUCTORA ALTAS CUMBRES B.L.K. SOCIEDAD ANONIMA CERRADA,False,PUNO,True
